dataset_id,source_id,record_type,model,scenario,scenario_family,geography,geography_code,region_level,year,metric,sector,end_use,accounting_scope,value,unit,value_semantics,source_value,source_unit,source_variable,upstream_status,source_vintage,source_file
DS-IEA-ELECTRICITY26-DEMAND,SRC-IEA-ELECTRICITY26-DEMAND,forecast,IEA Electricity 2026,IEA 2026-2030 forecast,publisher_assessment,World,World,world,2030,electricity_consumption,total,all_end_uses,global_electricity_consumption,33600.0,TWh,approximate,33600.0,TWh,published_milestone,forecast,2026-02,source_verification.json
DS-IEA-ELECTRICITY26-DEMAND,SRC-IEA-ELECTRICITY26-DEMAND,estimate,IEA Electricity 2026,Observed estimate,publisher_assessment,World,World,world,2025,electricity_consumption,total,all_end_uses,global_electricity_consumption,28200.0,TWh,approximate,28200.0,TWh,published_milestone,estimated,2026-02,source_verification.json
DS-IEA-ENERGY-AI25,SRC-IEA-ENERGY-AI25,forecast,IEA Energy and AI,Base Case,publisher_assessment,World,World,world,2030,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,945.0,TWh,approximate,945.0,TWh,published_milestone,forecast,2025-04,source_verification.json
DS-IEA-ENERGY-AI25,SRC-IEA-ENERGY-AI25,scenario,IEA Energy and AI,Base Case,publisher_assessment,World,World,world,2035,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,1200.0,TWh,approximate,1200.0,TWh,published_milestone,scenario,2025-04,source_verification.json
DS-IEA-ENERGY-AI25,SRC-IEA-ENERGY-AI25,scenario,IEA Energy and AI,High Efficiency Case,publisher_assessment,World,World,world,2035,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,970.0,TWh,approximate,970.0,TWh,published_milestone,scenario,2025-04,source_verification.json
DS-IEA-ENERGY-AI25,SRC-IEA-ENERGY-AI25,scenario,IEA Energy and AI,Lift-Off Case,publisher_assessment,World,World,world,2035,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,1700.0,TWh,lower_bound,1700.0,TWh,published_milestone,exceeds_reported_value,2025-04,source_verification.json
DS-IEA-ENERGY-AI25,SRC-IEA-ENERGY-AI25,estimate,IEA Energy and AI,Observed estimate,publisher_assessment,World,World,world,2024,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,415.0,TWh,approximate,415.0,TWh,published_milestone,estimated,2025-04,source_verification.json
DS-IEA-GEVO26,SRC-IEA-GEVO26,scenario,IEA Global EV Outlook,Current Policies Scenario,publisher_assessment,World,World,world,2035,identifiable_load,transportation,road_electric_vehicles,already_part_of_total_electricity_consumption,1500.0,TWh,lower_bound,1500.0,TWh,published_milestone,exceeds_reported_value,2026-04-13,source_verification.json
DS-IEA-GEVO26,SRC-IEA-GEVO26,scenario,IEA Global EV Outlook,Net Zero Emissions by 2050 Scenario,publisher_assessment,World,World,world,2035,identifiable_load,transportation,road_electric_vehicles,already_part_of_total_electricity_consumption,3000.0,TWh,lower_bound,3000.0,TWh,published_milestone,exceeds_reported_value,2026-04-13,source_verification.json
DS-IEA-GEVO26,SRC-IEA-GEVO26,estimate,IEA Global EV Outlook,Observed estimate,publisher_assessment,World,World,world,2025,identifiable_load,transportation,road_electric_vehicles,already_part_of_total_electricity_consumption,250.0,TWh,approximate,250.0,TWh,published_milestone,estimated,2026-04-13,source_verification.json
DS-IEA-GEVO26,SRC-IEA-GEVO26,scenario,IEA Global EV Outlook,Stated Policies Scenario,publisher_assessment,World,World,world,2035,identifiable_load,transportation,road_electric_vehicles,already_part_of_total_electricity_consumption,1700.0,TWh,point,1700.0,TWh,published_milestone,scenario,2026-04-13,source_verification.json
DS-LBNL-DATACENTER24,SRC-LBNL-DATACENTER24,estimate,LBNL Data Center Energy Usage Report,Historical estimate,publisher_assessment,United States,USA,country,2014,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,60.0,TWh,approximate,60.0,TWh,published_milestone,estimated,2024-12-20,source_verification.json
DS-LBNL-DATACENTER24,SRC-LBNL-DATACENTER24,estimate,LBNL Data Center Energy Usage Report,Historical estimate,publisher_assessment,United States,USA,country,2018,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,76.0,TWh,approximate,76.0,TWh,published_milestone,estimated,2024-12-20,source_verification.json
DS-LBNL-DATACENTER24,SRC-LBNL-DATACENTER24,estimate,LBNL Data Center Energy Usage Report,Historical estimate,publisher_assessment,United States,USA,country,2023,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,176.0,TWh,point,176.0,TWh,published_milestone,estimated,2024-12-20,source_verification.json
DS-LBNL-DATACENTER24,SRC-LBNL-DATACENTER24,forecast,LBNL Data Center Energy Usage Report,Projection range,publisher_assessment,United States,USA,country,2028,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,580.0,TWh,range_high,580.0,TWh,published_milestone,projection_range,2024-12-20,source_verification.json
DS-LBNL-DATACENTER24,SRC-LBNL-DATACENTER24,forecast,LBNL Data Center Energy Usage Report,Projection range,publisher_assessment,United States,USA,country,2028,identifiable_load,commercial,data_centers_total_facility,servers_storage_network_and_infrastructure,325.0,TWh,range_low,325.0,TWh,published_milestone,projection_range,2024-12-20,source_verification.json
